Date,Category,Description,Amount,Type
2021-10-18,Salary,Employer paycheck,3067.54,income
2021-10-19,Investment,Dividend payout,254.2,income
2021-10-21,Freelance,Project,557.37,income
2021-10-22,Bills,Rent,550.0,expense
2021-10-23,Bills,Electricity bill,42.09,expense
2021-10-24,Bills,Internet,27.8,expense
2021-10-25,Shopping,Groceries,91.29,expense
2021-10-26,Freelance,Project,307.22,income
2021-10-27,Bills,Water bill,13.23,expense
2021-10-28,Health,Medication,28.19,expense
2021-10-29,Bills,Phone bill,29.16,expense
2021-11-02,Bills,Internet,27.8,expense
2021-11-03,Transport,Train,49.17,expense
2021-11-04,Transport,Bus,34.11,expense
2021-11-05,Bills,Rent,550.0,expense
2021-11-06,Shopping,Jewerly,74.82,expense
2021-11-07,Entertainment,Nightout,13.05,expense
2021-11-09,Bills,Phone bill,27.69,expense
2021-11-11,Salary,Employer paycheck,2884.47,income
2021-11-12,Transport,Train,58.16,expense
2021-11-13,Shopping,Skincare,269.47,expense
2021-11-14,Transport,Rideshare,11.9,expense
2021-11-15,Freelance,Project,564.0,income
2021-11-16,Bills,Water bill,31.91,expense
2021-11-17,Freelance,Invoice settlement,272.88,income
2021-11-18,Freelance,Invoice settlement,465.4,income
2021-11-19,Health,Gym membership,29.03,expense
2021-11-20,Shopping,Clothes,283.65,expense
2021-11-21,Entertainment,Concert,36.1,expense
2021-11-22,Transport,Taxi,50.25,expense
2021-11-23,Bills,Electricity bill,31.03,expense
2021-11-26,Transport,Train,27.34,expense
2021-11-27,Transport,Bus,61.08,expense
2021-11-29,Shopping,Skincare,298.15,expense
2021-11-30,Investment,Dividend payout,272.15,income
2021-12-01,Bills,Phone bill,35.65,expense
2021-12-02,Freelance,Project,172.47,income
2021-12-03,Bills,Internet,27.8,expense
2021-12-04,Bills,Water bill,27.42,expense
2021-12-05,Salary,Employer paycheck,3103.0,income
2021-12-06,Shopping,Clothes,235.67,expense
2021-12-08,Freelance,Invoice settlement,242.13,income
2021-12-09,Bills,Electricity bill,16.27,expense
2021-12-10,Transport,Bus,40.22,expense
2021-12-11,Bills,Rent,550.0,expense
2021-12-12,Transport,Rideshare,68.85,expense
2021-12-15,Transport,Taxi,51.79,expense
2021-12-17,Investment,Dividend payout,76.88,income
2021-12-18,Entertainment,Streaming service,28.16,expense
2021-12-19,Shopping,Groceries,167.47,expense
2021-12-21,Transport,Taxi,20.7,expense
2021-12-24,Freelance,Invoice settlement,101.97,income
2021-12-26,Shopping,Clothes,52.65,expense
2021-12-27,Entertainment,Nightout,25.32,expense
2021-12-28,Transport,Taxi,45.66,expense
2021-12-29,Health,Accessories,28.69,expense
2021-12-30,Transport,Gas,16.15,expense
2021-12-31,Shopping,Groceries,80.73,expense
2022-01-01,Freelance,Project,538.77,income
2022-01-02,Shopping,Baking supplies,216.47,expense
2022-01-03,Freelance,Invoice settlement,517.83,income
2022-01-04,Investment,Dividend payout,226.25,income
2022-01-05,Shopping,Skincare,124.42,expense
2022-01-06,Shopping,Clothes,271.45,expense
2022-01-07,Bills,Electricity bill,18.87,expense
2022-01-08,Shopping,Tools,200.93,expense
2022-01-10,Freelance,Invoice settlement,273.07,income
2022-01-11,Bills,Internet,27.8,expense
2022-01-12,Salary,Employer paycheck,3123.22,income
2022-01-13,Bills,Water bill,43.12,expense
2022-01-14,Entertainment,Nightout,5.24,expense
2022-01-15,Entertainment,Nightout,44.42,expense
2022-01-16,Transport,Train,65.77,expense
2022-01-17,Transport,Taxi,26.51,expense
2022-01-18,Transport,Train,48.24,expense
2022-01-19,Transport,Train,6.02,expense
2022-01-20,Transport,Rideshare,4.13,expense
2022-01-21,Transport,Gas,16.72,expense
2022-01-23,Bills,Phone bill,21.92,expense
2022-01-24,Health,Gym membership,22.59,expense
2022-01-25,Transport,Rideshare,23.36,expense
2022-01-26,Transport,Bus,10.84,expense
2022-01-28,Other,Household items,47.39,expense
2022-01-30,Bills,Rent,550.0,expense
2022-01-31,Other,Unexpected repair,28.64,expense
2022-02-01,Freelance,Invoice settlement,181.65,income
2022-02-02,Freelance,Invoice settlement,475.08,income
2022-02-03,Health,Medication,23.25,expense
2022-02-04,Freelance,Invoice settlement,165.29,income
2022-02-05,Entertainment,Streaming service,35.51,expense
2022-02-06,Shopping,Jewerly,210.78,expense
2022-02-07,Transport,Taxi,65.18,expense
2022-02-08,Transport,Taxi,69.07,expense
2022-02-09,Shopping,Clothes,125.39,expense
2022-02-10,Transport,Rideshare,43.55,expense
2022-02-11,Entertainment,Nightout,37.44,expense
2022-02-12,Transport,Rideshare,8.1,expense
2022-02-13,Salary,Employer paycheck,2862.27,income
2022-02-14,Transport,Rideshare,13.78,expense
2022-02-15,Bills,Rent,550.0,expense
2022-02-16,Investment,Dividend payout,249.63,income
2022-02-17,Bills,Internet,27.8,expense
2022-02-18,Bills,Water bill,29.31,expense
2022-02-18,Bills,Electricity bill,43.38,expense
2022-02-19,Shopping,Jewerly,228.6,expense
2022-02-20,Transport,Train,66.46,expense
2022-02-21,Transport,Taxi,45.45,expense
2022-02-22,Bills,Phone bill,37.33,expense
2022-02-23,Transport,Bus,46.89,expense
2022-02-24,Other,Miscellaneous expense,16.01,expense
2022-02-26,Other,Miscellaneous expense,19.86,expense
2022-02-27,Shopping,Groceries,32.07,expense
2022-02-28,Shopping,Baking supplies,275.75,expense
2022-03-01,Shopping,Tools,55.64,expense
2022-03-02,Bills,Electricity bill,42.62,expense
2022-03-03,Bills,Phone bill,12.55,expense
2022-03-04,Shopping,Baking supplies,252.41,expense
2022-03-05,Transport,Gas,59.37,expense
2022-03-06,Transport,Train,27.22,expense
2022-03-07,Freelance,Project,501.04,income
2022-03-09,Freelance,Invoice settlement,235.7,income
2022-03-10,Entertainment,Concert,11.23,expense
2022-03-11,Freelance,Invoice settlement,196.23,income
2022-03-12,Bills,Water bill,13.82,expense
2022-03-14,Salary,Employer paycheck,2986.36,income
2022-03-15,Transport,Taxi,53.97,expense
2022-03-16,Bills,Internet,27.8,expense
2022-03-17,Transport,Bus,41.21,expense
2022-03-19,Transport,Bus,22.6,expense
2022-03-20,Entertainment,Concert,41.95,expense
2022-03-21,Transport,Taxi,61.73,expense
2022-03-23,Transport,Bus,50.88,expense
2022-03-24,Investment,Dividend payout,182.55,income
2022-03-25,Transport,Train,31.14,expense
2022-03-26,Other,Unexpected repair,45.73,expense
2022-03-27,Shopping,Baking supplies,159.63,expense
2022-03-28,Bills,Rent,550.0,expense
2022-03-29,Health,Gym membership,19.55,expense
2022-03-30,Other,Unexpected repair,7.6,expense
2022-03-31,Shopping,Skincare,10.56,expense
2022-04-01,Shopping,Baking supplies,286.31,expense
2022-04-02,Bills,Electricity bill,26.28,expense
2022-04-03,Freelance,Invoice settlement,354.87,income
2022-04-05,Freelance,Invoice settlement,561.62,income
2022-04-06,Shopping,Jewerly,173.49,expense
2022-04-07,Bills,Rent,550.0,expense
2022-04-08,Entertainment,Movies,53.88,expense
2022-04-09,Entertainment,Streaming service,16.51,expense
2022-04-10,Bills,Internet,27.8,expense
2022-04-12,Transport,Bus,52.01,expense
2022-04-14,Freelance,Project,274.93,income
2022-04-15,Transport,Train,16.46,expense
2022-04-16,Transport,Gas,5.81,expense
2022-04-17,Bills,Phone bill,30.74,expense
2022-04-18,Transport,Rideshare,21.73,expense
2022-04-19,Shopping,Jewerly,31.37,expense
2022-04-20,Bills,Water bill,15.41,expense
2022-04-21,Transport,Rideshare,67.03,expense
2022-04-22,Transport,Taxi,30.69,expense
2022-04-23,Transport,Gas,7.95,expense
2022-04-24,Investment,Dividend payout,113.4,income
2022-04-25,Transport,Bus,23.49,expense
2022-04-26,Shopping,Baking supplies,183.69,expense
2022-04-27,Health,Accessories,31.57,expense
2022-04-28,Other,Charity donation,8.59,expense
2022-04-29,Other,Charity donation,11.82,expense
2022-04-30,Salary,Employer paycheck,2858.13,income
2022-05-01,Bills,Internet,27.8,expense
2022-05-02,Entertainment,Concert,15.37,expense
2022-05-03,Entertainment,Streaming service,30.22,expense
2022-05-04,Transport,Rideshare,33.24,expense
2022-05-05,Bills,Phone bill,15.38,expense
2022-05-06,Transport,Taxi,40.32,expense
2022-05-07,Health,Medication,28.13,expense
2022-05-08,Freelance,Invoice settlement,186.53,income
2022-05-09,Transport,Rideshare,39.47,expense
2022-05-10,Shopping,Clothes,88.73,expense
2022-05-11,Freelance,Project,237.97,income
2022-05-12,Transport,Train,69.4,expense
2022-05-13,Transport,Bus,65.2,expense
2022-05-14,Freelance,Invoice settlement,295.87,income
2022-05-15,Transport,Train,41.2,expense
2022-05-16,Salary,Employer paycheck,3099.15,income
2022-05-17,Bills,Water bill,38.28,expense
2022-05-18,Investment,Dividend payout,194.21,income
2022-05-19,Shopping,Skincare,258.44,expense
2022-05-20,Transport,Bus,64.35,expense
2022-05-21,Transport,Bus,43.77,expense
2022-05-23,Other,Charity donation,18.78,expense
2022-05-24,Other,Charity donation,43.02,expense
2022-05-26,Transport,Gas,36.79,expense
2022-05-27,Bills,Rent,550.0,expense
2022-05-29,Shopping,Clothes,123.44,expense
2022-05-30,Bills,Electricity bill,27.03,expense
2022-05-31,Shopping,Clothes,162.37,expense
2022-06-01,Transport,Rideshare,42.47,expense
2022-06-02,Transport,Taxi,9.65,expense
2022-06-03,Salary,Employer paycheck,2832.31,income
2022-06-04,Freelance,Invoice settlement,377.08,income
2022-06-05,Transport,Bus,51.93,expense
2022-06-06,Bills,Electricity bill,36.07,expense
2022-06-07,Shopping,Baking supplies,86.61,expense
2022-06-08,Entertainment,Movies,45.14,expense
2022-06-09,Bills,Water bill,23.42,expense
2022-06-11,Bills,Rent,550.0,expense
2022-06-13,Bills,Phone bill,32.14,expense
2022-06-14,Transport,Gas,5.28,expense
2022-06-15,Freelance,Project,280.57,income
2022-06-16,Transport,Rideshare,16.89,expense
2022-06-17,Bills,Internet,27.8,expense
2022-06-18,Shopping,Jewerly,203.16,expense
2022-06-20,Transport,Bus,5.67,expense
2022-06-21,Investment,Dividend payout,103.78,income
2022-06-22,Health,Medication,31.87,expense
2022-06-23,Freelance,Invoice settlement,174.96,income
2022-06-24,Transport,Taxi,28.2,expense
2022-06-25,Entertainment,Concert,24.3,expense
2022-06-26,Transport,Taxi,31.16,expense
2022-06-27,Other,Household items,40.64,expense
2022-06-28,Other,Household items,49.16,expense
2022-06-29,Shopping,Skincare,250.4,expense
2022-06-30,Shopping,Clothes,230.81,expense
2022-07-01,Bills,Rent,550.0,expense
2022-07-02,Transport,Train,39.68,expense
2022-07-03,Investment,Dividend payout,213.7,income
2022-07-04,Freelance,Invoice settlement,285.13,income
2022-07-05,Shopping,Groceries,221.28,expense
2022-07-06,Bills,Internet,27.8,expense
2022-07-08,Shopping,Tools,130.79,expense
2022-07-09,Freelance,Invoice settlement,560.19,income
2022-07-10,Freelance,Project,411.69,income
2022-07-11,Entertainment,Concert,59.37,expense
2022-07-12,Bills,Phone bill,37.87,expense
2022-07-13,Shopping,Tools,223.79,expense
2022-07-14,Salary,Employer paycheck,2977.87,income
2022-07-15,Bills,Electricity bill,42.41,expense
2022-07-16,Transport,Gas,31.43,expense
2022-07-17,Transport,Gas,68.43,expense
2022-07-18,Bills,Water bill,38.81,expense
2022-07-19,Transport,Taxi,4.58,expense
2022-07-20,Entertainment,Streaming service,51.4,expense
2022-07-21,Transport,Bus,13.05,expense
2022-07-22,Shopping,Clothes,295.66,expense
2022-07-23,Transport,Gas,45.36,expense
2022-07-25,Transport,Rideshare,12.87,expense
2022-07-26,Transport,Train,43.27,expense
2022-07-27,Other,Unexpected repair,28.12,expense
2022-07-28,Other,Charity donation,18.21,expense
2022-07-29,Transport,Gas,25.92,expense
2022-07-30,Shopping,Tools,180.16,expense
2022-07-31,Health,Medication,21.91,expense
2022-08-01,Freelance,Invoice settlement,409.66,income
2022-08-02,Bills,Phone bill,22.46,expense
2022-08-03,Shopping,Skincare,230.22,expense
2022-08-05,Entertainment,Nightout,23.76,expense
2022-08-06,Entertainment,Concert,31.53,expense
2022-08-07,Transport,Gas,35.55,expense
2022-08-08,Freelance,Invoice settlement,432.18,income
2022-08-10,Shopping,Baking supplies,14.01,expense
2022-08-11,Bills,Water bill,10.6,expense
2022-08-14,Freelance,Invoice settlement,453.73,income
2022-08-15,Shopping,Baking supplies,103.74,expense
2022-08-16,Transport,Bus,45.05,expense
2022-08-17,Transport,Bus,55.49,expense
2022-08-18,Salary,Employer paycheck,2924.74,income
2022-08-19,Transport,Rideshare,58.45,expense
2022-08-20,Transport,Gas,10.51,expense
2022-08-21,Bills,Internet,27.8,expense
2022-08-22,Transport,Bus,20.49,expense
2022-08-23,Investment,Dividend payout,131.81,income
2022-08-24,Bills,Rent,550.0,expense
2022-08-25,Transport,Rideshare,14.83,expense
2022-08-27,Health,Gym membership,15.29,expense
2022-08-28,Transport,Bus,9.82,expense
2022-08-29,Other,Miscellaneous expense,17.92,expense
2022-08-30,Shopping,Skincare,221.35,expense
2022-08-31,Bills,Electricity bill,26.32,expense
2022-09-01,Freelance,Project,147.57,income
2022-09-02,Investment,Dividend payout,254.88,income
2022-09-03,Freelance,Invoice settlement,545.55,income
2022-09-04,Shopping,Tools,260.24,expense
2022-09-06,Shopping,Clothes,51.97,expense
2022-09-07,Salary,Employer paycheck,3081.71,income
2022-09-08,Freelance,Invoice settlement,393.21,income
2022-09-09,Bills,Water bill,34.23,expense
2022-09-11,Bills,Internet,27.8,expense
2022-09-12,Shopping,Jewerly,136.46,expense
2022-09-13,Bills,Electricity bill,36.49,expense
2022-09-14,Entertainment,Movies,6.21,expense
2022-09-15,Entertainment,Nightout,58.08,expense
2022-09-16,Transport,Gas,37.15,expense
2022-09-17,Transport,Gas,51.5,expense
2022-09-18,Shopping,Clothes,57.96,expense
2022-09-19,Transport,Gas,33.5,expense
2022-09-20,Transport,Bus,60.14,expense
2022-09-21,Bills,Rent,550.0,expense
2022-09-22,Transport,Gas,48.28,expense
2022-09-23,Health,Gym membership,20.56,expense
2022-09-24,Transport,Train,22.32,expense
2022-09-25,Transport,Taxi,58.77,expense
2022-09-26,Bills,Phone bill,28.96,expense
2022-09-27,Transport,Rideshare,28.83,expense
2022-09-28,Other,Household items,26.18,expense
2022-09-29,Other,Charity donation,35.84,expense
2022-09-30,Entertainment,Concert,39.93,expense
2022-10-01,Salary,Employer paycheck,3006.8,income
2022-10-02,Bills,Internet,27.8,expense
2022-10-04,Transport,Train,32.45,expense
2022-10-05,Freelance,Project,278.97,income
2022-10-07,Investment,Dividend payout,71.91,income
2022-10-08,Bills,Electricity bill,22.52,expense
2022-10-09,Health,Gym membership,27.79,expense
2022-10-10,Transport,Bus,35.4,expense
2022-10-11,Entertainment,Streaming service,56.61,expense
2022-10-12,Freelance,Project,119.1,income
2022-10-13,Transport,Gas,9.33,expense
2022-10-15,Shopping,Clothes,257.21,expense
2022-10-16,Freelance,Invoice settlement,346.71,income
2022-10-17,Bills,Water bill,19.53,expense
2022-10-17,Bills,Rent,550.0,expense
2022-10-18,Entertainment,Concert,37.61,expense
2022-10-19,Transport,Taxi,44.52,expense
2022-10-20,Transport,Train,39.06,expense
2022-10-21,Shopping,Groceries,179.01,expense
2022-10-22,Bills,Phone bill,22.88,expense
2022-10-23,Transport,Taxi,15.69,expense
2022-10-24,Transport,Taxi,28.28,expense
2022-10-25,Transport,Taxi,28.95,expense
2022-10-26,Other,Household items,46.34,expense
2022-10-27,Other,Unexpected repair,9.33,expense
2022-10-28,Entertainment,Nightout,58.24,expense
2022-10-29,Transport,Gas,2.13,expense
2022-10-30,Shopping,Tools,197.36,expense
2022-10-31,Shopping,Baking supplies,108.7,expense
2022-11-01,Shopping,Tools,141.2,expense
2022-11-02,Entertainment,Nightout,35.82,expense
2022-11-03,Bills,Internet,27.8,expense
2022-11-04,Bills,Electricity bill,20.67,expense
2022-11-05,Freelance,Project,409.49,income
2022-11-06,Freelance,Project,376.22,income
2022-11-08,Entertainment,Concert,7.84,expense
2022-11-09,Freelance,Invoice settlement,268.44,income
2022-11-10,Bills,Phone bill,29.42,expense
2022-11-11,Transport,Train,21.6,expense
2022-11-12,Transport,Gas,30.46,expense
2022-11-13,Transport,Rideshare,64.52,expense
2022-11-14,Transport,Taxi,7.55,expense
2022-11-15,Bills,Rent,550.0,expense
2022-11-16,Salary,Employer paycheck,3052.76,income
2022-11-17,Shopping,Clothes,199.66,expense
2022-11-18,Transport,Bus,56.26,expense
2022-11-19,Transport,Taxi,15.67,expense
2022-11-20,Health,Gym membership,18.46,expense
2022-11-21,Transport,Rideshare,68.55,expense
2022-11-22,Transport,Bus,66.91,expense
2022-11-23,Shopping,Groceries,116.73,expense
2022-11-24,Shopping,Skincare,81.39,expense
2022-11-25,Investment,Dividend payout,387.28,income
2022-11-26,Bills,Water bill,27.25,expense
2022-11-27,Other,Household items,6.99,expense
2022-11-28,Other,Miscellaneous expense,10.14,expense
2022-11-29,Shopping,Groceries,180.58,expense
2022-11-30,Transport,Taxi,12.43,expense
2022-12-01,Shopping,Baking supplies,19.91,expense
2022-12-02,Freelance,Project,345.36,income
2022-12-03,Bills,Phone bill,33.6,expense
2022-12-04,Investment,Dividend payout,217.68,income
2022-12-06,Health,Medication,29.82,expense
2022-12-07,Bills,Internet,27.8,expense
2022-12-08,Entertainment,Movies,56.37,expense
2022-12-09,Shopping,Tools,133.34,expense
2022-12-10,Freelance,Invoice settlement,548.53,income
2022-12-11,Entertainment,Nightout,51.7,expense
2022-12-12,Freelance,Project,485.16,income
2022-12-13,Bills,Rent,550.0,expense
2022-12-14,Transport,Train,56.46,expense
2022-12-16,Transport,Train,59.6,expense
2022-12-17,Salary,Employer paycheck,3000.52,income
2022-12-18,Transport,Bus,41.31,expense
2022-12-19,Transport,Bus,16.53,expense
2022-12-21,Bills,Electricity bill,23.82,expense
2022-12-22,Transport,Train,28.11,expense
2022-12-23,Transport,Train,65.72,expense
2022-12-24,Transport,Bus,66.09,expense
2022-12-25,Transport,Rideshare,43.49,expense
2022-12-26,Other,Miscellaneous expense,7.37,expense
2022-12-27,Other,Household items,31.93,expense
2022-12-28,Bills,Water bill,15.1,expense
2022-12-29,Shopping,Skincare,94.73,expense
2022-12-31,Shopping,Clothes,140.79,expense
2023-01-02,Bills,Rent,550.0,expense
2023-01-03,Freelance,Project,152.25,income
2023-01-05,Bills,Internet,27.8,expense
2023-01-06,Investment,Dividend payout,303.09,income
2023-01-07,Shopping,Tools,139.7,expense
2023-01-08,Freelance,Invoice settlement,360.57,income
2023-01-09,Freelance,Project,265.61,income
2023-01-10,Bills,Water bill,27.98,expense
2023-01-11,Shopping,Clothes,12.6,expense
2023-01-12,Health,Gym membership,26.56,expense
2023-01-14,Entertainment,Streaming service,16.38,expense
2023-01-16,Shopping,Jewerly,106.19,expense
2023-01-17,Entertainment,Concert,28.97,expense
2023-01-18,Transport,Train,63.45,expense
2023-01-19,Salary,Employer paycheck,2940.51,income
2023-01-20,Shopping,Jewerly,149.41,expense
2023-01-21,Transport,Taxi,41.6,expense
2023-01-22,Transport,Train,11.98,expense
2023-01-23,Transport,Bus,20.15,expense
2023-01-25,Transport,Taxi,29.59,expense
2023-01-26,Bills,Phone bill,21.45,expense
2023-01-27,Transport,Train,46.22,expense
2023-01-28,Transport,Rideshare,47.6,expense
2023-01-30,Bills,Electricity bill,31.79,expense
2023-01-31,Transport,Taxi,48.07,expense
2023-02-01,Transport,Rideshare,19.95,expense
2023-02-02,Bills,Phone bill,13.68,expense
2023-02-03,Health,Gym membership,18.89,expense
2023-02-04,Investment,Dividend payout,230.2,income
2023-02-07,Other,Charity donation,22.2,expense
2023-02-08,Transport,Taxi,9.57,expense
2023-02-09,Bills,Water bill,42.56,expense
2023-02-10,Freelance,Invoice settlement,272.46,income
2023-02-11,Transport,Bus,30.63,expense
2023-02-12,Transport,Bus,56.57,expense
2023-02-13,Salary,Employer paycheck,3026.19,income
2023-02-14,Transport,Taxi,39.82,expense
2023-02-15,Bills,Electricity bill,44.98,expense
2023-02-16,Transport,Gas,14.21,expense
2023-02-18,Transport,Taxi,10.67,expense
2023-02-19,Bills,Rent,550.0,expense
