Date,Category,Description,Amount,Type
2024-06-18,Transport,Taxi,50.3,expense
2024-06-19,Transport,Taxi,51.33,expense
2024-06-20,Transport,Bus,65.69,expense
2024-06-21,Bills,Phone bill,32.45,expense
2024-06-21,Bills,Electricity bill,15.16,expense
2024-06-22,Other,Unexpected repair,23.25,expense
2024-06-23,Bills,Rent,550.0,expense
2024-06-24,Other,Charity donation,40.88,expense
2024-06-26,Other,Household items,38.89,expense
2024-06-27,Bills,Internet,27.8,expense
2024-06-28,Shopping,Skincare,18.95,expense
2024-06-29,Shopping,Baking supplies,40.26,expense
2024-06-30,Entertainment,Movies,54.85,expense
2024-07-01,Investment,Dividend payout,370.3,income
2024-07-02,Shopping,Jewerly,53.91,expense
2024-07-03,Shopping,Baking supplies,299.29,expense
2024-07-05,Salary,Employer paycheck,2829.03,income
2024-07-06,Shopping,Skincare,274.78,expense
2024-07-07,Bills,Electricity bill,32.83,expense
2024-07-08,Freelance,Invoice settlement,168.41,income
2024-07-09,Entertainment,Movies,27.55,expense
2024-07-11,Bills,Water bill,26.82,expense
2024-07-11,Bills,Phone bill,20.42,expense
2024-07-12,Shopping,Groceries,159.32,expense
2024-07-13,Entertainment,Concert,14.2,expense
2024-07-14,Transport,Bus,16.62,expense
2024-07-15,Transport,Taxi,66.32,expense
2024-07-16,Bills,Rent,550.0,expense
2024-07-17,Freelance,Invoice settlement,476.9,income
2024-07-19,Health,Accessories,15.15,expense
2024-07-20,Freelance,Project,431.04,income
2024-07-21,Transport,Gas,55.29,expense
2024-07-22,Transport,Train,2.87,expense
2024-07-23,Transport,Rideshare,40.0,expense
2024-07-24,Transport,Rideshare,7.27,expense
2024-07-25,Transport,Gas,8.51,expense
2024-07-27,Transport,Rideshare,20.89,expense
2024-07-28,Other,Miscellaneous expense,18.01,expense
2024-07-29,Other,Household items,43.07,expense
2024-07-30,Bills,Internet,27.8,expense
2024-07-31,Shopping,Baking supplies,121.96,expense
2024-08-01,Bills,Water bill,40.68,expense
2024-08-02,Freelance,Invoice settlement,293.09,income
2024-08-03,Investment,Dividend payout,55.1,income
2024-08-04,Bills,Rent,550.0,expense
2024-08-05,Bills,Phone bill,34.56,expense
2024-08-06,Freelance,Project,235.2,income
2024-08-08,Freelance,Project,318.49,income
2024-08-09,Shopping,Jewerly,202.11,expense
2024-08-10,Shopping,Clothes,140.75,expense
2024-08-11,Shopping,Groceries,189.0,expense
2024-08-12,Entertainment,Nightout,22.91,expense
2024-08-13,Entertainment,Streaming service,14.6,expense
2024-08-14,Shopping,Tools,110.81,expense
2024-08-15,Salary,Employer paycheck,2825.43,income
2024-08-16,Transport,Bus,34.46,expense
2024-08-19,Transport,Taxi,30.07,expense
2024-08-20,Transport,Taxi,9.21,expense
2024-08-21,Transport,Gas,25.42,expense
2024-08-22,Transport,Train,69.02,expense
2024-08-23,Bills,Electricity bill,25.52,expense
2024-08-24,Transport,Taxi,60.42,expense
2024-08-25,Transport,Gas,14.19,expense
2024-08-26,Transport,Bus,13.61,expense
2024-08-27,Health,Gym membership,31.13,expense
2024-08-28,Bills,Internet,27.8,expense
2024-08-29,Other,Household items,19.92,expense
2024-08-30,Other,Miscellaneous expense,31.55,expense
2024-08-31,Entertainment,Nightout,51.35,expense
2024-09-01,Transport,Taxi,11.46,expense
2024-09-02,Freelance,Project,192.46,income
2024-09-03,Health,Medication,30.45,expense
2024-09-04,Entertainment,Nightout,22.5,expense
2024-09-05,Freelance,Project,189.54,income
2024-09-06,Shopping,Skincare,128.77,expense
2024-09-07,Bills,Water bill,34.94,expense
2024-09-08,Transport,Bus,60.7,expense
2024-09-10,Freelance,Invoice settlement,339.12,income
2024-09-11,Transport,Rideshare,11.28,expense
2024-09-12,Shopping,Groceries,262.91,expense
2024-09-14,Transport,Bus,48.77,expense
2024-09-15,Transport,Rideshare,53.6,expense
2024-09-16,Transport,Rideshare,27.26,expense
2024-09-17,Bills,Electricity bill,15.42,expense
2024-09-19,Transport,Train,57.76,expense
2024-09-21,Bills,Rent,550.0,expense
2024-09-22,Transport,Taxi,39.75,expense
2024-09-23,Bills,Internet,27.8,expense
2024-09-24,Shopping,Groceries,215.12,expense
2024-09-26,Entertainment,Nightout,56.7,expense
2024-09-27,Other,Charity donation,39.15,expense
2024-09-28,Shopping,Groceries,66.45,expense
2024-09-29,Bills,Phone bill,14.07,expense
2024-09-30,Salary,Employer paycheck,3001.3,income
2024-09-30,Investment,Dividend payout,351.18,income
2024-10-01,Bills,Electricity bill,28.21,expense
2024-10-02,Investment,Dividend payout,337.53,income
2024-10-03,Bills,Rent,550.0,expense
2024-10-04,Shopping,Baking supplies,186.31,expense
2024-10-05,Health,Accessories,28.22,expense
2024-10-08,Freelance,Project,420.99,income
2024-10-09,Freelance,Invoice settlement,196.65,income
2024-10-10,Transport,Bus,24.81,expense
2024-10-11,Transport,Gas,58.99,expense
2024-10-12,Transport,Rideshare,50.55,expense
2024-10-13,Bills,Internet,27.8,expense
2024-10-14,Freelance,Invoice settlement,531.61,income
2024-10-15,Transport,Taxi,38.32,expense
2024-10-16,Transport,Taxi,63.83,expense
2024-10-17,Shopping,Jewerly,252.06,expense
2024-10-18,Entertainment,Movies,25.53,expense
2024-10-19,Shopping,Jewerly,244.54,expense
2024-10-20,Transport,Train,60.38,expense
2024-10-21,Transport,Train,9.42,expense
2024-10-22,Salary,Employer paycheck,2824.99,income
2024-10-23,Shopping,Jewerly,45.32,expense
2024-10-24,Transport,Gas,13.48,expense
2024-10-25,Bills,Water bill,41.25,expense
2024-10-26,Bills,Phone bill,41.83,expense
2024-10-27,Entertainment,Concert,19.62,expense
2024-10-28,Other,Miscellaneous expense,12.06,expense
2024-10-29,Other,Miscellaneous expense,31.94,expense
2024-10-31,Shopping,Skincare,127.92,expense
2024-11-01,Shopping,Jewerly,198.25,expense
2024-11-02,Freelance,Invoice settlement,160.83,income
2024-11-04,Shopping,Skincare,14.72,expense
2024-11-06,Freelance,Project,217.74,income
2024-11-07,Freelance,Invoice settlement,197.3,income
2024-11-08,Shopping,Baking supplies,141.81,expense
2024-11-09,Entertainment,Movies,10.44,expense
2024-11-10,Investment,Dividend payout,395.82,income
2024-11-11,Bills,Internet,27.8,expense
2024-11-12,Shopping,Groceries,233.06,expense
2024-11-13,Entertainment,Concert,37.41,expense
2024-11-14,Transport,Rideshare,12.36,expense
2024-11-15,Transport,Taxi,26.96,expense
2024-11-16,Transport,Gas,48.69,expense
2024-11-17,Transport,Taxi,18.21,expense
2024-11-18,Transport,Gas,42.99,expense
2024-11-19,Health,Medication,31.51,expense
2024-11-20,Transport,Train,43.58,expense
2024-11-22,Transport,Rideshare,27.13,expense
2024-11-23,Transport,Rideshare,62.66,expense
2024-11-24,Other,Miscellaneous expense,28.18,expense
2024-11-25,Bills,Water bill,43.03,expense
2024-11-25,Bills,Rent,550.0,expense
2024-11-26,Salary,Employer paycheck,2844.68,income
2024-11-27,Other,Charity donation,8.27,expense
2024-11-28,Bills,Phone bill,20.14,expense
2024-11-29,Shopping,Skincare,106.38,expense
2024-11-30,Bills,Electricity bill,14.45,expense
2024-12-01,Freelance,Project,192.56,income
2024-12-03,Shopping,Skincare,60.87,expense
2024-12-04,Shopping,Tools,88.44,expense
2024-12-05,Bills,Rent,550.0,expense
2024-12-06,Freelance,Project,503.41,income
2024-12-07,Shopping,Baking supplies,278.39,expense
2024-12-08,Freelance,Invoice settlement,140.9,income
2024-12-09,Salary,Employer paycheck,2933.11,income
2024-12-11,Bills,Water bill,10.27,expense
2024-12-12,Entertainment,Movies,43.09,expense
2024-12-15,Entertainment,Concert,52.39,expense
2024-12-17,Transport,Bus,66.63,expense
2024-12-18,Bills,Internet,27.8,expense
2024-12-19,Transport,Train,25.75,expense
2024-12-20,Transport,Train,2.75,expense
2024-12-21,Bills,Phone bill,44.08,expense
2024-12-22,Transport,Bus,66.92,expense
2024-12-23,Health,Gym membership,28.79,expense
2024-12-24,Investment,Dividend payout,227.43,income
2024-12-25,Transport,Bus,38.12,expense
2024-12-26,Transport,Taxi,16.52,expense
2024-12-27,Transport,Train,35.82,expense
2024-12-28,Shopping,Groceries,190.58,expense
2024-12-29,Transport,Train,23.18,expense
2024-12-30,Bills,Electricity bill,11.77,expense
2024-12-31,Other,Miscellaneous expense,29.48,expense
2025-01-01,Shopping,Groceries,273.66,expense
2025-01-02,Transport,Rideshare,13.44,expense
2025-01-03,Shopping,Baking supplies,55.7,expense
2025-01-04,Health,Gym membership,19.89,expense
2025-01-05,Freelance,Invoice settlement,362.33,income
2025-01-06,Freelance,Project,574.84,income
2025-01-07,Bills,Internet,27.8,expense
2025-01-08,Freelance,Project,207.42,income
2025-01-10,Transport,Taxi,20.28,expense
2025-01-11,Transport,Rideshare,2.85,expense
2025-01-12,Bills,Rent,550.0,expense
2025-01-13,Transport,Train,34.75,expense
2025-01-14,Transport,Taxi,60.31,expense
2025-01-15,Transport,Train,53.6,expense
2025-01-16,Entertainment,Movies,33.88,expense
2025-01-17,Shopping,Tools,61.5,expense
2025-01-18,Entertainment,Streaming service,46.13,expense
2025-01-19,Salary,Employer paycheck,2833.63,income
2025-01-20,Investment,Dividend payout,290.17,income
2025-01-21,Transport,Taxi,65.28,expense
2025-01-22,Other,Miscellaneous expense,42.74,expense
2025-01-23,Bills,Phone bill,10.19,expense
2025-01-24,Bills,Electricity bill,14.2,expense
2025-01-25,Other,Charity donation,25.43,expense
2025-01-27,Shopping,Groceries,182.18,expense
2025-01-29,Shopping,Groceries,160.34,expense
2025-01-30,Bills,Water bill,31.51,expense
2025-01-31,Transport,Gas,45.78,expense
2025-02-01,Shopping,Baking supplies,189.64,expense
2025-02-02,Freelance,Invoice settlement,500.83,income
2025-02-03,Shopping,Clothes,211.87,expense
2025-02-04,Freelance,Invoice settlement,137.24,income
2025-02-05,Shopping,Jewerly,98.21,expense
2025-02-06,Freelance,Invoice settlement,277.28,income
2025-02-07,Entertainment,Concert,29.51,expense
2025-02-08,Bills,Internet,27.8,expense
2025-02-09,Entertainment,Nightout,25.94,expense
2025-02-10,Transport,Train,24.21,expense
2025-02-11,Transport,Rideshare,2.77,expense
2025-02-12,Health,Gym membership,25.29,expense
2025-02-13,Salary,Employer paycheck,2877.7,income
2025-02-14,Transport,Gas,19.53,expense
2025-02-15,Transport,Gas,12.97,expense
2025-02-16,Investment,Dividend payout,377.59,income
2025-02-17,Transport,Rideshare,53.47,expense
2025-02-18,Bills,Electricity bill,14.41,expense
2025-02-19,Shopping,Clothes,164.49,expense
2025-02-20,Transport,Gas,55.74,expense
2025-02-21,Transport,Taxi,9.81,expense
2025-02-22,Bills,Rent,550.0,expense
2025-02-23,Bills,Water bill,20.84,expense
2025-02-24,Transport,Taxi,32.67,expense
2025-02-25,Other,Charity donation,35.67,expense
2025-02-27,Bills,Phone bill,32.32,expense
2025-03-01,Health,Accessories,16.0,expense
2025-03-02,Salary,Employer paycheck,3032.77,income
2025-03-03,Freelance,Invoice settlement,526.62,income
2025-03-05,Shopping,Skincare,74.26,expense
2025-03-06,Shopping,Skincare,210.6,expense
2025-03-07,Bills,Internet,27.8,expense
2025-03-07,Bills,Water bill,25.35,expense
2025-03-08,Freelance,Invoice settlement,245.88,income
2025-03-09,Investment,Dividend payout,331.58,income
2025-03-12,Freelance,Project,229.16,income
2025-03-13,Entertainment,Nightout,49.87,expense
2025-03-14,Bills,Rent,550.0,expense
2025-03-15,Entertainment,Streaming service,21.16,expense
2025-03-16,Transport,Train,35.85,expense
2025-03-18,Transport,Gas,42.85,expense
2025-03-19,Transport,Gas,47.92,expense
2025-03-20,Transport,Gas,48.0,expense
2025-03-21,Bills,Phone bill,44.89,expense
2025-03-22,Transport,Rideshare,60.26,expense
2025-03-23,Transport,Gas,54.24,expense
2025-03-24,Shopping,Tools,256.58,expense
2025-03-25,Transport,Bus,8.83,expense
2025-03-26,Shopping,Groceries,214.38,expense
2025-03-27,Transport,Gas,22.21,expense
2025-03-28,Other,Charity donation,17.27,expense
2025-03-29,Bills,Electricity bill,18.36,expense
2025-03-31,Other,Unexpected repair,31.74,expense
2025-04-01,Shopping,Skincare,118.36,expense
2025-04-02,Freelance,Invoice settlement,259.1,income
2025-04-03,Shopping,Clothes,68.36,expense
2025-04-04,Bills,Phone bill,24.84,expense
2025-04-05,Entertainment,Movies,25.44,expense
2025-04-06,Freelance,Invoice settlement,264.66,income
2025-04-08,Freelance,Invoice settlement,435.61,income
2025-04-09,Investment,Dividend payout,138.77,income
2025-04-10,Entertainment,Concert,33.0,expense
2025-04-11,Transport,Rideshare,27.54,expense
2025-04-12,Bills,Internet,27.8,expense
2025-04-13,Health,Medication,30.07,expense
2025-04-14,Bills,Water bill,12.8,expense
2025-04-15,Transport,Gas,19.07,expense
2025-04-16,Transport,Gas,27.42,expense
2025-04-17,Transport,Rideshare,69.05,expense
2025-04-18,Transport,Rideshare,47.69,expense
2025-04-21,Salary,Employer paycheck,3029.4,income
2025-04-22,Shopping,Groceries,137.79,expense
2025-04-23,Transport,Taxi,58.27,expense
2025-04-24,Transport,Taxi,18.71,expense
2025-04-25,Transport,Gas,18.09,expense
2025-04-26,Other,Charity donation,23.12,expense
2025-04-28,Bills,Rent,550.0,expense
2025-04-29,Bills,Electricity bill,33.38,expense
2025-04-30,Shopping,Groceries,31.65,expense
2025-05-01,Entertainment,Movies,55.19,expense
2025-05-02,Shopping,Jewerly,194.5,expense
2025-05-03,Entertainment,Concert,37.51,expense
2025-05-05,Transport,Bus,20.39,expense
2025-05-07,Bills,Rent,550.0,expense
2025-05-10,Freelance,Invoice settlement,572.39,income
2025-05-11,Transport,Taxi,50.56,expense
2025-05-12,Salary,Employer paycheck,3111.28,income
2025-05-13,Bills,Electricity bill,31.86,expense
2025-05-14,Shopping,Groceries,182.98,expense
2025-05-15,Transport,Taxi,23.65,expense
2025-05-16,Transport,Taxi,66.83,expense
2025-05-17,Shopping,Clothes,68.18,expense
2025-05-18,Bills,Phone bill,30.38,expense
2025-05-19,Freelance,Invoice settlement,543.87,income
2025-05-22,Bills,Water bill,14.4,expense
2025-05-25,Health,Medication,26.78,expense
2025-05-26,Bills,Internet,27.8,expense
2025-05-27,Shopping,Tools,228.49,expense
2025-05-28,Investment,Dividend payout,332.12,income
2025-06-01,Shopping,Clothes,222.28,expense
2025-06-02,Freelance,Invoice settlement,401.57,income
2025-06-03,Freelance,Invoice settlement,319.01,income
2025-06-04,Salary,Employer paycheck,2958.36,income
2025-06-05,Freelance,Invoice settlement,302.91,income
2025-06-06,Bills,Electricity bill,37.73,expense
2025-06-07,Entertainment,Concert,56.31,expense
2025-06-08,Entertainment,Streaming service,27.17,expense
2025-06-09,Shopping,Baking supplies,129.59,expense
2025-06-10,Transport,Train,26.57,expense
2025-06-11,Health,Gym membership,24.64,expense
2025-06-12,Shopping,Baking supplies,65.51,expense
2025-06-13,Transport,Taxi,17.92,expense
2025-06-14,Transport,Train,19.98,expense
2025-06-15,Transport,Gas,42.88,expense
2025-06-16,Transport,Rideshare,46.96,expense
2025-06-17,Transport,Rideshare,2.96,expense
2025-06-18,Shopping,Tools,117.44,expense
2025-06-19,Bills,Internet,27.8,expense
2025-06-20,Transport,Rideshare,6.98,expense
2025-06-21,Transport,Rideshare,24.77,expense
2025-06-22,Bills,Rent,550.0,expense
2025-06-23,Investment,Dividend payout,284.41,income
2025-06-24,Bills,Phone bill,12.57,expense
2025-06-25,Other,Miscellaneous expense,11.25,expense
2025-06-26,Other,Unexpected repair,7.44,expense
2025-06-28,Shopping,Jewerly,112.42,expense
2025-06-29,Shopping,Skincare,182.91,expense
2025-06-30,Bills,Water bill,30.85,expense
2025-07-01,Bills,Internet,27.8,expense
2025-07-02,Investment,Dividend payout,292.43,income
2025-07-04,Freelance,Invoice settlement,296.67,income
2025-07-05,Entertainment,Concert,16.93,expense
2025-07-06,Entertainment,Streaming service,52.42,expense
2025-07-07,Freelance,Project,532.65,income
2025-07-08,Transport,Train,24.46,expense
2025-07-09,Bills,Water bill,28.05,expense
2025-07-10,Shopping,Jewerly,151.3,expense
2025-07-11,Bills,Rent,550.0,expense
2025-07-13,Transport,Rideshare,53.89,expense
2025-07-14,Freelance,Invoice settlement,147.03,income
2025-07-15,Transport,Taxi,39.71,expense
2025-07-16,Shopping,Clothes,274.22,expense
2025-07-17,Health,Medication,31.7,expense
2025-07-18,Shopping,Groceries,125.77,expense
2025-07-19,Salary,Employer paycheck,2872.65,income
2025-07-20,Transport,Bus,17.65,expense
2025-07-21,Transport,Bus,38.21,expense
2025-07-22,Transport,Train,58.82,expense
2025-07-23,Bills,Electricity bill,42.66,expense
2025-07-24,Transport,Taxi,61.23,expense
2025-07-25,Transport,Bus,51.16,expense
2025-07-26,Other,Charity donation,39.66,expense
2025-07-27,Shopping,Groceries,228.86,expense
2025-07-28,Bills,Phone bill,33.84,expense
2025-07-29,Other,Charity donation,46.08,expense
2025-07-30,Transport,Taxi,24.65,expense
2025-07-31,Other,Household items,23.3,expense
2025-08-01,Shopping,Tools,99.56,expense
2025-08-02,Freelance,Project,491.61,income
2025-08-03,Freelance,Project,143.35,income
2025-08-04,Shopping,Jewerly,190.68,expense
2025-08-05,Freelance,Invoice settlement,173.0,income
2025-08-06,Shopping,Skincare,188.1,expense
2025-08-07,Shopping,Clothes,249.08,expense
2025-08-08,Entertainment,Nightout,28.94,expense
2025-08-09,Bills,Rent,550.0,expense
2025-08-10,Entertainment,Concert,38.08,expense
2025-08-12,Transport,Train,27.82,expense
2025-08-14,Transport,Gas,10.05,expense
2025-08-15,Transport,Bus,51.52,expense
2025-08-16,Transport,Gas,8.94,expense
2025-08-17,Transport,Rideshare,25.92,expense
2025-08-19,Bills,Phone bill,21.13,expense
2025-08-20,Bills,Electricity bill,42.16,expense
2025-08-22,Investment,Dividend payout,348.38,income
2025-08-23,Health,Accessories,29.34,expense
2025-08-24,Transport,Taxi,57.85,expense
2025-08-25,Bills,Internet,27.8,expense
2025-08-26,Bills,Water bill,14.38,expense
2025-08-27,Transport,Train,54.65,expense
2025-08-28,Transport,Train,10.57,expense
2025-08-29,Other,Miscellaneous expense,14.09,expense
2025-08-30,Other,Unexpected repair,38.93,expense
2025-08-31,Salary,Employer paycheck,3003.63,income
2025-09-01,Entertainment,Nightout,41.32,expense
2025-09-02,Entertainment,Streaming service,5.6,expense
2025-09-03,Freelance,Project,308.83,income
2025-09-04,Transport,Bus,5.2,expense
2025-09-05,Freelance,Project,106.9,income
2025-09-06,Bills,Water bill,26.93,expense
2025-09-07,Investment,Dividend payout,382.64,income
2025-09-08,Shopping,Groceries,22.92,expense
2025-09-09,Transport,Rideshare,43.73,expense
2025-09-10,Freelance,Project,480.47,income
2025-09-11,Bills,Internet,27.8,expense
2025-09-12,Transport,Bus,28.19,expense
2025-09-13,Health,Medication,15.71,expense
2025-09-15,Bills,Rent,550.0,expense
2025-09-15,Bills,Phone bill,13.03,expense
2025-09-17,Shopping,Clothes,125.85,expense
2025-09-19,Transport,Gas,21.54,expense
2025-09-20,Shopping,Tools,238.23,expense
2025-09-21,Shopping,Groceries,218.28,expense
2025-09-22,Salary,Employer paycheck,2836.98,income
2025-09-23,Transport,Gas,3.13,expense
2025-09-24,Transport,Train,16.39,expense
2025-09-25,Transport,Rideshare,9.88,expense
2025-09-26,Transport,Rideshare,22.86,expense
2025-09-28,Other,Unexpected repair,21.19,expense
2025-09-29,Bills,Electricity bill,37.32,expense
2025-09-30,Other,Unexpected repair,26.18,expense
2025-10-01,Shopping,Baking supplies,97.71,expense
2025-10-02,Shopping,Groceries,217.59,expense
2025-10-03,Bills,Phone bill,11.28,expense
2025-10-04,Shopping,Groceries,187.92,expense
2025-10-05,Salary,Employer paycheck,2934.04,income
2025-10-06,Investment,Dividend payout,220.42,income
2025-10-07,Shopping,Groceries,212.71,expense
2025-10-08,Entertainment,Streaming service,20.1,expense
2025-10-09,Health,Accessories,22.61,expense
2025-10-11,Bills,Water bill,14.08,expense
2025-10-12,Bills,Internet,27.8,expense
2025-10-13,Entertainment,Nightout,17.17,expense
2025-10-14,Freelance,Project,293.07,income
2025-10-16,Bills,Rent,550.0,expense
2025-10-17,Bills,Electricity bill,26.12,expense